food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
24154010,"Chicken thigh, grilled without sauce, skin eaten","Chicken, whole pieces",243,22.61,0.0,0.0,0.0,16.29,4.262,6.924,3.672,129
24154011,"Chicken thigh, grilled without sauce, skin not eaten","Chicken, whole pieces",192,24.07,0.0,0.0,0.0,9.91,2.512,4.109,2.41,129
24154020,"Chicken thigh, grilled with sauce, skin eaten","Chicken, whole pieces",233,18.61,7.28,5.94,0.2,13.77,3.536,5.821,3.155,106
24154021,"Chicken thigh, grilled with sauce, skin not eaten","Chicken, whole pieces",191,19.8,7.28,5.94,0.2,8.56,2.107,3.523,2.125,106
24154300,"Chicken thigh, sauteed, skin eaten","Chicken, whole pieces",243,22.61,0.0,0.0,0.0,16.29,4.262,6.924,3.672,129
24154301,"Chicken thigh, sauteed, skin not eaten","Chicken, whole pieces",192,24.07,0.0,0.0,0.0,9.91,2.512,4.109,2.41,129
24157300,"Chicken thigh, fried, coated, skin / coating eaten, from raw","Chicken, whole pieces",273,19.01,5.98,0.1,0.2,18.61,4.168,7.848,5.061,106
24157301,"Chicken thigh, fried, coated, skin / coating not eaten, from raw","Chicken, whole pieces",192,24.12,0.0,0.0,0.0,9.93,2.517,4.117,2.415,130
24157302,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw","Chicken, whole pieces",231,20.14,5.96,0.1,0.2,13.49,2.767,5.591,4.046,106
24157310,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked","Chicken, whole pieces",277,18.23,7.15,0.12,0.3,19.01,4.135,8.006,5.321,101
24157311,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked","Chicken, whole pieces",192,24.07,0.0,0.0,0.0,9.91,2.512,4.109,2.41,129
24157320,"Chicken thigh, fried, coated, skin / coating eaten, from fast food","Chicken, whole pieces",294,16.26,13.0,0.1,0.3,19.67,4.566,8.93,4.355,87
24157321,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food","Chicken, whole pieces",218,19.42,6.31,0.1,0.2,12.8,2.703,5.305,3.247,102
24157330,"Chicken thigh, fried, coated, skin / coating eaten, from restaurant","Chicken, whole pieces",294,16.26,13.0,0.1,0.3,19.67,4.566,8.93,4.355,87
24157331,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant","Chicken, whole pieces",218,19.42,6.31,0.1,0.2,12.8,2.703,5.305,3.247,102
24157400,"Chicken thigh, baked, coated, skin / coating eaten","Chicken, whole pieces",240,20.96,3.98,0.07,0.2,14.99,3.888,6.335,3.42,118
24157401,"Chicken thigh, baked, coated, skin / coating not eaten","Chicken, whole pieces",192,24.07,0.0,0.0,0.0,9.91,2.512,4.109,2.41,129
24160110,"Chicken wing, NS as to cooking method","Chicken, whole pieces",257,23.42,0.6,0.6,0.0,18.04,4.627,7.332,2.177,129
24162130,"Chicken wing, baked, broiled, or roasted, from raw","Chicken, whole pieces",252,23.6,0.0,0.0,0.0,16.74,4.937,7.645,3.562,140
24162140,"Chicken wing, baked or broiled, from pre-cooked","Chicken, whole pieces",257,23.42,0.6,0.6,0.0,18.04,4.627,7.332,2.177,129
24162150,"Chicken wing, baked or broiled, from fast food / restaurant","Chicken, whole pieces",264,23.08,0.0,0.0,0.0,18.35,5.093,8.316,4.244,137
24162200,"Chicken wing, rotisserie","Chicken, whole pieces",257,23.42,0.6,0.6,0.0,18.04,4.627,7.332,2.177,129
24163110,"Chicken wing, stewed","Chicken, whole pieces",247,22.6,0.0,0.0,0.0,16.69,4.673,6.548,3.552,69
24164000,"Chicken wing, grilled without sauce","Chicken, whole pieces",265,23.13,0.0,0.0,0.0,18.39,5.103,8.333,4.252,137
24164010,"Chicken wing, grilled with sauce","Chicken, whole pieces",250,19.03,7.28,5.94,0.2,15.49,4.222,6.971,3.629,112
24164200,"Chicken wing, sauteed","Chicken, whole pieces",265,23.13,0.0,0.0,0.0,18.39,5.103,8.333,4.252,137
24167200,"Chicken wing, fried, coated, from raw","Chicken, whole pieces",289,19.39,5.96,0.1,0.2,20.24,4.829,8.953,5.513,112
24167210,"Chicken wing, fried, coated, from pre-cooked","Chicken, whole pieces",294,18.62,7.15,0.12,0.3,20.59,4.77,9.068,5.759,107
24167220,"Chicken wing, fried, coated, from fast food","Chicken, whole pieces",323,17.77,15.0,0.1,0.3,21.28,4.983,9.943,4.684,94
24167230,"Chicken wing, fried, coated, from restaurant","Chicken, whole pieces",323,17.77,15.0,0.1,0.3,21.28,4.983,9.943,4.684,94
24167300,"Chicken wing, baked, coated","Chicken, whole pieces",260,21.42,3.98,0.07,0.2,16.87,4.643,7.6,3.941,125
24168000,"Chicken ""wings"" with hot sauce, from fast food / restaurant","Chicken, whole pieces",272,16.78,6.18,2.26,0.1,20.2,6.294,7.889,2.998,102
24168001,"Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant","Chicken, whole pieces",276,16.95,13.13,7.55,0.2,17.39,4.137,7.636,3.219,92
24168002,"Chicken ""wings"", plain, from fast food / restaurant","Chicken, whole pieces",323,17.77,15.0,0.1,0.3,21.28,4.983,9.943,4.684,94
